data item,class(s),nature,resolution time,aggregation(s),source,link(s),processed,require(s),job(s),team(s),rank,owner,added_by,info_further
EMMO,generation,market,hourly,block,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,_
EMMO,generation,market,hourly,block,Flexibility Dashboard,http,0_EDWP,_,_,_,0,_,_,_
shift_log,system,EMS,@time,system,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,"outage_tx,outage_gen","grid_analytics,outage_coordination",0,_,_,_
outage,system,EMS,@time,_,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,"outage_tx,outage_gen","grid_analytics,outage_coordination",0,_,_,_
price,system,market,any,AIES,PI,"Excel PI DataLink,PI SDK,OLEDB / ODBC",0-PI,pi-tag,_,_,0,_,_,_
price,system,market,any,AIES,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,_
DTS,load,tariff,any,MPID,DFS folders,files,0_DFS,_,_,_,0,_,_,_
STS,generation,tariff,any,MPID,DFS folders,files,0_DFS,_,_,_,0,_,_,_
DTS,load,tariff,any,MPID,SPA Dashboard,http,1_DFS,MPID,_,_,0,_,_,_
STS,generation,tariff,any,MPID,SPA Dashboard,http,1_DFS,MPID,_,_,0,_,_,_
MW,load,forecast,hourly,MPID,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,_
MW,load,forecast,hourly,"MPID,technology*,area*,region*",GR-Dashboard,http,0_EDWP,_,_,_,0,_,_,_
MW,generation,forecast,hourly,MPID,"SQL_server, AURORA","MSSMS,OLEDB / ODBC",0_Aurora,SQL,_,_,0,_,_,_
MW,generation,forecast,hourly,MPID,Flexibility Dashboard,http,1_Aurora,_,_,_,0,_,_,_
MW,transmission,forecast,hourly,MPID,"SQL_server, AURORA","MSSMS,OLEDB / ODBC",0_Aurora,SQL,_,_,0,_,_,_
MW,transmission,forecast,hourly,MPID,Flexibility Dashboard,http,1_Aurora,_,_,_,0,_,_,_
MW,wind&solar,forecast_st,any,MPID,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,_
MW,wind&solar,forecast_st,any,MPID,SPA Dashboard,http,1_EDWP,MPID,_,_,0,_,_,_
MW,load,forecast_st,hourly,AIES,"Oracle, EDWP","PLSQL,OLEDB / ODBC",0_EDWP,SQL,_,_,0,_,_,_
